incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152066828,2015-08-12 22:14:00+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066828,2015-08-12 22:14:00+00,E13,Fatal,Male,White,Hispanic or Latinx,t
I152066849,2015-08-12 12:32:03+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,2015-08-12 22:18:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,2015-08-12 22:18:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,2015-08-12 22:18:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067124,2015-08-13 23:35:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152067124,2015-08-13 23:35:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067039,2015-08-13 16:35:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152068253,2015-08-18 00:01:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152067782,2015-08-16 12:23:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152067431,2015-08-15 00:30:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067431,2015-08-15 00:30:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152067405,2015-08-14 21:43:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152068856,2015-08-20 01:10:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152068848,2015-08-20 15:39:53+00,E5,Non-Fatal,Male,White,Hispanic or Latinx,f
I152069800,2015-08-23 01:45:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152070024,2015-08-24 00:57:02+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152070281,2015-08-24 21:55:00+00,C11,Non-Fatal,Female,Black or African American,Hispanic or Latinx,f
